experiment,seed,label,precision,recall
E1,42,Center,0.8952702702702703,0.9023836549375709
E1,42,Donut,0.8918918918918919,0.7122302158273381
E1,42,Edge-Loc,0.9031007751937985,0.6638176638176638
E1,42,Edge-Ring,0.9667721518987342,0.9760383386581469
E1,42,Loc,0.7495961227786753,0.6391184573002755
E1,42,Near-full,0.9375,0.9375
E1,42,Random,0.8862275449101796,0.891566265060241
E1,42,Scratch,0.8874172185430463,0.575107296137339
E1,42,none,0.9804850385295393,0.9961026197173553
E1,52,Center,0.941320293398533,0.8740068104426788
E1,52,Donut,0.8120805369127517,0.8705035971223022
E1,52,Edge-Loc,0.8349106203995794,0.7540360873694207
E1,52,Edge-Ring,0.9691653375863902,0.9707135250266241
E1,52,Loc,0.7268656716417911,0.6707988980716253
E1,52,Near-full,0.9666666666666667,0.90625
E1,52,Random,0.7136363636363636,0.9457831325301205
E1,52,Scratch,0.8448275862068966,0.630901287553648
E1,52,none,0.98469147432878,0.991866336801437
E1,62,Center,0.9556962025316456,0.8569807037457434
E1,62,Donut,0.8916666666666667,0.7697841726618705
E1,62,Edge-Loc,0.8407851690294439,0.7321937321937322
E1,62,Edge-Ring,0.9605885444035733,0.9733759318423855
E1,62,Loc,0.8333333333333334,0.5509641873278237
E1,62,Near-full,0.9142857142857143,1.0
E1,62,Random,0.992,0.7469879518072289
E1,62,Scratch,0.7272727272727273,0.5150214592274678
E1,62,none,0.9783577127659574,0.997356559460467
E1,72,Center,0.9084588644264194,0.8898978433598184
E1,72,Donut,0.9181818181818182,0.7266187050359713
E1,72,Edge-Loc,0.8850710900473934,0.7094017094017094
E1,72,Edge-Ring,0.9465844889573704,0.9813631522896699
E1,72,Loc,0.748829953198128,0.6611570247933884
E1,72,Near-full,1.0,0.78125
E1,72,Random,0.9555555555555556,0.7771084337349398
E1,72,Scratch,0.8402366863905325,0.6094420600858369
E1,72,none,0.9823968408018473,0.9948486799742434
E1,82,Center,0.9131455399061033,0.8830874006810443
E1,82,Donut,0.8914728682170543,0.8273381294964028
E1,82,Edge-Loc,0.8281573498964804,0.7597340930674265
E1,82,Edge-Ring,0.9736842105263158,0.9653887113951012
E1,82,Loc,0.888641425389755,0.5495867768595041
E1,82,Near-full,0.9117647058823529,0.96875
E1,82,Random,0.8827160493827161,0.8614457831325302
E1,82,Scratch,0.7079646017699115,0.6866952789699571
E1,82,none,0.981626858192751,0.9958653878740638
E2,42,Center,0.9399249061326659,0.8524404086265607
E2,42,Donut,0.9259259259259259,0.7194244604316546
E2,42,Edge-Loc,0.8709288299155609,0.6856600189933523
E2,42,Edge-Ring,0.9828539823008849,0.9462193823216187
E2,42,Loc,0.8297455968688845,0.5840220385674931
E2,42,Near-full,0.967741935483871,0.9375
E2,42,Random,0.8855421686746988,0.8855421686746988
E2,42,Scratch,0.8171428571428572,0.6137339055793991
E2,42,none,0.975453822711011,0.9979665842003592
E2,52,Center,0.9534005037783375,0.8592508513053349
E2,52,Donut,0.7485029940119761,0.8992805755395683
E2,52,Edge-Loc,0.904635761589404,0.6486229819563153
E2,52,Edge-Ring,0.971718249733191,0.9696485623003195
E2,52,Loc,0.8048327137546468,0.5964187327823691
E2,52,Near-full,0.96875,0.96875
E2,52,Random,0.8579545454545454,0.9096385542168675
E2,52,Scratch,0.7427184466019418,0.6566523605150214
E2,52,none,0.9788847138629335,0.9976615718304132
E2,62,Center,0.946969696969697,0.8513053348467651
E2,62,Donut,0.8740740740740741,0.8489208633093526
E2,62,Edge-Loc,0.9551495016611296,0.5460588793922128
E2,62,Edge-Ring,0.9603340292275574,0.979765708200213
E2,62,Loc,0.7753222836095764,0.5798898071625345
E2,62,Near-full,0.96875,0.96875
E2,62,Random,0.8314606741573034,0.891566265060241
E2,62,Scratch,0.7637362637362637,0.5965665236051502
E2,62,none,0.9744336034397222,0.9984749381502694
E2,72,Center,0.9327628361858191,0.8660612939841089
E2,72,Donut,0.8524590163934426,0.7482014388489209
E2,72,Edge-Loc,0.8775757575757576,0.6875593542260209
E2,72,Edge-Ring,0.9587251828631139,0.9771033013844516
E2,72,Loc,0.7951127819548872,0.5826446280991735
E2,72,Near-full,1.0,0.9375
E2,72,Random,0.9310344827586207,0.8132530120481928
E2,72,Scratch,0.772020725388601,0.6394849785407726
E2,72,none,0.9789918764149687,0.9965431931406107
E2,82,Center,0.9263657957244655,0.8853575482406356
E2,82,Donut,0.7134831460674157,0.9136690647482014
E2,82,Edge-Loc,0.814484126984127,0.7796771130104464
E2,82,Edge-Ring,0.9802197802197802,0.9499467518636848
E2,82,Loc,0.7084507042253522,0.6928374655647382
E2,82,Near-full,0.9411764705882353,1.0
E2,82,Random,0.8323699421965318,0.8674698795180723
E2,82,Scratch,0.6666666666666666,0.7381974248927039
E2,82,none,0.9866855907001892,0.98952790863185
E3,42,Center,0.8801331853496115,0.9001135073779796
E3,42,Donut,0.8402777777777778,0.8705035971223022
E3,42,Edge-Loc,0.7239627434377646,0.811965811965812
E3,42,Edge-Ring,0.965386695511087,0.950479233226837
E3,42,Loc,0.4906303236797274,0.7933884297520661
E3,42,Near-full,0.9142857142857143,1.0
E3,42,Random,0.772020725388601,0.8975903614457831
E3,42,Scratch,0.6652892561983471,0.6909871244635193
E3,42,none,0.9915559246954596,0.9710238248551192
E3,52,Center,0.6807817589576547,0.9489216799091941
E3,52,Donut,0.757396449704142,0.920863309352518
E3,52,Edge-Loc,0.5570388349514563,0.8717948717948718
E3,52,Edge-Ring,0.9421188630490956,0.9707135250266241
E3,52,Loc,0.566747572815534,0.6432506887052342
E3,52,Near-full,1.0,0.90625
E3,52,Random,0.9084967320261438,0.8373493975903614
E3,52,Scratch,0.6778242677824268,0.6952789699570815
E3,52,none,0.9932722789714689,0.9556715355678314
E3,62,Center,0.7147736976942783,0.9500567536889898
E3,62,Donut,0.8235294117647058,0.9064748201438849
E3,62,Edge-Loc,0.6421356421356421,0.8452041785375118
E3,62,Edge-Ring,0.9634408602150538,0.9542066027689031
E3,62,Loc,0.5286686103012633,0.7493112947658402
E3,62,Near-full,0.9393939393939394,0.96875
E3,62,Random,0.7894736842105263,0.9036144578313253
E3,62,Scratch,0.7522522522522522,0.7167381974248928
E3,62,none,0.9940499107486612,0.9625173687599553
E3,72,Center,0.8735005452562704,0.9091940976163451
E3,72,Donut,0.9122807017543859,0.7482014388489209
E3,72,Edge-Loc,0.6616654163540885,0.8376068376068376
E3,72,Edge-Ring,0.9236907730673317,0.9861554845580405
E3,72,Loc,0.6258148631029987,0.6611570247933884
E3,72,Near-full,0.8421052631578947,1.0
E3,72,Random,0.7017543859649122,0.963855421686747
E3,72,Scratch,0.5284552845528455,0.8369098712446352
E3,72,none,0.9923380945777285,0.9700410072186261
E3,82,Center,0.9536152796725784,0.793416572077185
E3,82,Donut,0.6902173913043478,0.9136690647482014
E3,82,Edge-Loc,0.812089356110381,0.5868945868945868
E3,82,Edge-Ring,0.9923932124049152,0.9030883919062833
E3,82,Loc,0.592964824120603,0.650137741046832
E3,82,Near-full,0.9696969696969697,1.0
E3,82,Random,0.6824034334763949,0.9578313253012049
E3,82,Scratch,0.3675889328063241,0.7982832618025751
E3,82,none,0.9813216453135536,0.9864100044057342
