experiment,seed,label,precision,recall
E2,42,Center,0.9399249061326659,0.8524404086265607
E2,42,Donut,0.9259259259259259,0.7194244604316546
E2,42,Edge-Loc,0.8709288299155609,0.6856600189933523
E2,42,Edge-Ring,0.9828539823008849,0.9462193823216187
E2,42,Loc,0.8297455968688845,0.5840220385674931
E2,42,Near-full,0.967741935483871,0.9375
E2,42,Random,0.8855421686746988,0.8855421686746988
E2,42,Scratch,0.8171428571428572,0.6137339055793991
E2,42,none,0.975453822711011,0.9979665842003592
E2,52,Center,0.9534005037783375,0.8592508513053349
E2,52,Donut,0.7485029940119761,0.8992805755395683
E2,52,Edge-Loc,0.904635761589404,0.6486229819563153
E2,52,Edge-Ring,0.971718249733191,0.9696485623003195
E2,52,Loc,0.8048327137546468,0.5964187327823691
E2,52,Near-full,0.96875,0.96875
E2,52,Random,0.8579545454545454,0.9096385542168675
E2,52,Scratch,0.7427184466019418,0.6566523605150214
E2,52,none,0.9788847138629335,0.9976615718304132
E2,62,Center,0.946969696969697,0.8513053348467651
E2,62,Donut,0.8740740740740741,0.8489208633093526
E2,62,Edge-Loc,0.9551495016611296,0.5460588793922128
E2,62,Edge-Ring,0.9603340292275574,0.979765708200213
E2,62,Loc,0.7753222836095764,0.5798898071625345
E2,62,Near-full,0.96875,0.96875
E2,62,Random,0.8314606741573034,0.891566265060241
E2,62,Scratch,0.7637362637362637,0.5965665236051502
E2,62,none,0.9744336034397222,0.9984749381502694
E2,72,Center,0.9327628361858191,0.8660612939841089
E2,72,Donut,0.8524590163934426,0.7482014388489209
E2,72,Edge-Loc,0.8775757575757576,0.6875593542260209
E2,72,Edge-Ring,0.9587251828631139,0.9771033013844516
E2,72,Loc,0.7951127819548872,0.5826446280991735
E2,72,Near-full,1.0,0.9375
E2,72,Random,0.9310344827586207,0.8132530120481928
E2,72,Scratch,0.772020725388601,0.6394849785407726
E2,72,none,0.9789918764149687,0.9965431931406107
E2,82,Center,0.9263657957244655,0.8853575482406356
E2,82,Donut,0.7134831460674157,0.9136690647482014
E2,82,Edge-Loc,0.814484126984127,0.7796771130104464
E2,82,Edge-Ring,0.9802197802197802,0.9499467518636848
E2,82,Loc,0.7084507042253522,0.6928374655647382
E2,82,Near-full,0.9411764705882353,1.0
E2,82,Random,0.8323699421965318,0.8674698795180723
E2,82,Scratch,0.6666666666666666,0.7381974248927039
E2,82,none,0.9866855907001892,0.98952790863185
E3,42,Center,0.8801331853496115,0.9001135073779796
E3,42,Donut,0.8402777777777778,0.8705035971223022
E3,42,Edge-Loc,0.7239627434377646,0.811965811965812
E3,42,Edge-Ring,0.965386695511087,0.950479233226837
E3,42,Loc,0.4906303236797274,0.7933884297520661
E3,42,Near-full,0.9142857142857143,1.0
E3,42,Random,0.772020725388601,0.8975903614457831
E3,42,Scratch,0.6652892561983471,0.6909871244635193
E3,42,none,0.9915559246954596,0.9710238248551192
E3,52,Center,0.6807817589576547,0.9489216799091941
E3,52,Donut,0.757396449704142,0.920863309352518
E3,52,Edge-Loc,0.5570388349514563,0.8717948717948718
E3,52,Edge-Ring,0.9421188630490956,0.9707135250266241
E3,52,Loc,0.566747572815534,0.6432506887052342
E3,52,Near-full,1.0,0.90625
E3,52,Random,0.9084967320261438,0.8373493975903614
E3,52,Scratch,0.6778242677824268,0.6952789699570815
E3,52,none,0.9932722789714689,0.9556715355678314
E3,62,Center,0.7147736976942783,0.9500567536889898
E3,62,Donut,0.8235294117647058,0.9064748201438849
E3,62,Edge-Loc,0.6421356421356421,0.8452041785375118
E3,62,Edge-Ring,0.9634408602150538,0.9542066027689031
E3,62,Loc,0.5286686103012633,0.7493112947658402
E3,62,Near-full,0.9393939393939394,0.96875
E3,62,Random,0.7894736842105263,0.9036144578313253
E3,62,Scratch,0.7522522522522522,0.7167381974248928
E3,62,none,0.9940499107486612,0.9625173687599553
E3,72,Center,0.8735005452562704,0.9091940976163451
E3,72,Donut,0.9122807017543859,0.7482014388489209
E3,72,Edge-Loc,0.6616654163540885,0.8376068376068376
E3,72,Edge-Ring,0.9236907730673317,0.9861554845580405
E3,72,Loc,0.6258148631029987,0.6611570247933884
E3,72,Near-full,0.8421052631578947,1.0
E3,72,Random,0.7017543859649122,0.963855421686747
E3,72,Scratch,0.5284552845528455,0.8369098712446352
E3,72,none,0.9923380945777285,0.9700410072186261
E3,82,Center,0.9536152796725784,0.793416572077185
E3,82,Donut,0.6902173913043478,0.9136690647482014
E3,82,Edge-Loc,0.812089356110381,0.5868945868945868
E3,82,Edge-Ring,0.9923932124049152,0.9030883919062833
E3,82,Loc,0.592964824120603,0.650137741046832
E3,82,Near-full,0.9696969696969697,1.0
E3,82,Random,0.6824034334763949,0.9578313253012049
E3,82,Scratch,0.3675889328063241,0.7982832618025751
E3,82,none,0.9813216453135536,0.9864100044057342
E3b,42,Center,0.9070034443168772,0.8967082860385925
E3b,42,Donut,0.8214285714285714,0.8273381294964028
E3b,42,Edge-Loc,0.7907662082514735,0.7644824311490979
E3b,42,Edge-Ring,0.9854504756575265,0.9376996805111821
E3b,42,Loc,0.607728337236534,0.7148760330578512
E3b,42,Near-full,0.9142857142857143,1.0
E3b,42,Random,0.9102564102564102,0.8554216867469879
E3b,42,Scratch,0.7897196261682243,0.7253218884120172
E3b,42,none,0.9864251861882194,0.9875283830955367
E3b,52,Center,0.9382566585956417,0.8796821793416572
E3b,52,Donut,0.7865853658536586,0.9280575539568345
E3b,52,Edge-Loc,0.8730512249443207,0.7445394112060779
E3b,52,Edge-Ring,0.9470164609053497,0.9802981895633652
E3b,52,Loc,0.800658978583196,0.6694214876033058
E3b,52,Near-full,0.9142857142857143,1.0
E3b,52,Random,0.7743589743589744,0.9096385542168675
E3b,52,Scratch,0.8810810810810811,0.6995708154506438
E3b,52,none,0.9848123382950842,0.9932897278611855
E3b,62,Center,0.8939566704675028,0.8898978433598184
E3b,62,Donut,0.8206896551724138,0.8561151079136691
E3b,62,Edge-Loc,0.9002463054187192,0.6942070275403609
E3b,62,Edge-Ring,0.9612565445026178,0.9776357827476039
E3b,62,Loc,0.7828371278458844,0.6157024793388429
E3b,62,Near-full,0.9142857142857143,1.0
E3b,62,Random,0.7938144329896907,0.927710843373494
E3b,62,Scratch,0.7404255319148936,0.7467811158798283
E3b,62,none,0.9831746882960183,0.9941369844443692
E3b,72,Center,0.8870431893687708,0.9091940976163451
E3b,72,Donut,0.8012820512820513,0.8992805755395683
E3b,72,Edge-Loc,0.877030162412993,0.717948717948718
E3b,72,Edge-Ring,0.9700053561863953,0.9643237486687966
E3b,72,Loc,0.849802371541502,0.5922865013774105
E3b,72,Near-full,0.8648648648648649,1.0
E3b,72,Random,0.9507042253521126,0.8132530120481928
E3b,72,Scratch,0.8980891719745223,0.6051502145922747
E3b,72,none,0.9801567450391863,0.9960348391907005
E3b,82,Center,0.8992161254199328,0.9114642451759364
E3b,82,Donut,0.7828947368421053,0.8561151079136691
E3b,82,Edge-Loc,0.6988817891373802,0.8309591642924976
E3b,82,Edge-Ring,0.9252988047808764,0.9893503727369543
E3b,82,Loc,0.8977272727272727,0.5440771349862259
E3b,82,Near-full,1.0,1.0
E3b,82,Random,0.7511737089201878,0.963855421686747
E3b,82,Scratch,0.6568265682656826,0.7639484978540773
E3b,82,none,0.9890645227226272,0.983936015182838
