case_group,true_label,outcome,cam_target_role,n_cases,n_valid,n_missing,n_zero_cam,exact_q1,exact_median,exact_q3,dilated_q1,dilated_median,dilated_q3,padding_mass_ratio_median,exact_correct_minus_missed,exact_difference_ci_low,exact_difference_ci_high,exact_bootstrap_valid,dilated_correct_minus_missed,dilated_difference_ci_low,dilated_difference_ci_high,dilated_bootstrap_valid
scratch_correct,Scratch,correct,actual,109,109,0,0,0.0961061250094483,0.13710282325753548,0.18042222093459812,0.3253789642549981,0.3829885934452239,0.488696136215736,0.11845292920995566,0.028955913400457917,0.007086575329635699,0.043684281908661735,2000.0,0.03591933000156522,-0.007311496460132009,0.07915181654935904,2000.0
scratch_to_none,Scratch,missed,actual,89,89,0,0,0.07521373663228673,0.10814690985707756,0.150996138065527,0.29204967078398764,0.3470692634436587,0.42016615405786795,0.14768377781071115,0.028955913400457917,0.007086575329635699,0.043684281908661735,2000.0,0.03591933000156522,-0.007311496460132009,0.07915181654935904,2000.0
scratch_to_none,Scratch,missed,none,89,89,0,0,0.057477683070987204,0.0856004141866034,0.11213805522900537,0.2452124723497154,0.31801404815985623,0.3692688072204495,0.14608797676272847,,,,,,,,
loc_correct,Loc,correct,actual,410,410,0,0,0.07594356590538437,0.16605367277489655,0.2517699389546807,0.23948814169488913,0.4215610593404096,0.5334070407236061,0.2035841392485252,0.04211084794137719,0.010480654519487138,0.07587445427732283,2000.0,0.04129881187174311,-0.01765548428464383,0.07926185788710083,2000.0
loc_to_none,Loc,missed,actual,223,223,0,0,0.08094743336677593,0.12394282483351936,0.17501877065152818,0.2897214561761635,0.3802622474686665,0.46481651710239724,0.24876545924395296,0.04211084794137719,0.010480654519487138,0.07587445427732283,2000.0,0.04129881187174311,-0.01765548428464383,0.07926185788710083,2000.0
loc_to_none,Loc,missed,none,223,223,0,0,0.07877198979294711,0.11465825930030234,0.16501732828198185,0.28653147600161166,0.3740197979343911,0.451243719850001,0.16224785684631177,,,,,,,,
